rank,symbol,name,mom_12_1,mom_6_1,close,dma200,above200dma,turnover20d_inr,last_bar,source,bars
1,LAURUSLABS,Laurus Labs Ltd.,1.0236501561802767,0.807853298784134,1948.1,1303.99925,True,6926671369.889999,2026-09-16,jugaad,379
2,ADANIENSOL,Adani Energy Solutions Ltd.,0.9315580190384385,0.6086302057200201,1386.8,1266.9982499999999,True,5746447243.735,2026-09-16,jugaad,381
3,BHEL,Bharat Heavy Electricals Ltd.,0.8581671913256383,0.6765285996055226,429.2,338.9414,True,2791910540.6175,2026-09-16,jugaad,386
4,FEDERALBNK,Federal Bank Ltd.,0.8247654018767849,0.3601976810492302,332.75,300.7007,True,1799166490.5049999,2026-09-16,jugaad,380
5,POWERINDIA,Hitachi Energy India Ltd.,0.8136246786632391,0.45975584523070556,31230.0,27869.65,True,2780996494.5,2026-09-16,jugaad,380
6,BHARATFORG,Bharat Forge Ltd.,0.7319085733146298,0.25299982090621476,1918.7,1822.511,True,1773191808.8200002,2026-09-16,jugaad,381
7,MOTHERSON,Samvardhana Motherson International Ltd.,0.6938369781312128,0.49710068529256746,161.87,133.70635000000001,True,1753031443.3655,2026-09-16,jugaad,380
8,IDEA,Vodafone Idea Ltd.,0.6889952153110048,0.52319309600863,14.22,12.09345,True,6996740398.997,2026-09-16,jugaad,425
9,RADICO,Radico Khaitan Ltd,0.6450816823079595,0.6902610621049248,4380.0,3464.0445,True,1034337904.21,2026-09-16,jugaad,380
10,AUBANK,AU Small Finance Bank Ltd.,0.513045924467262,0.2163736077344942,1039.3,1002.0885000000001,True,1542767647.795,2026-09-16,jugaad,381
11,GVT&D,GE Vernova T&D India Ltd.,0.5045549099777635,0.16388757872541126,4341.0,3984.56,True,4514462399.135,2026-09-16,jugaad,381
12,AUROPHARMA,Aurobindo Pharma Ltd.,0.48305084745762716,0.26880061704589275,1690.0,1389.9005,True,1290240929.175,2026-09-16,jugaad,380
13,ABB,ABB India Ltd.,0.46186481721846606,0.18044583496284705,7130.5,6458.625,True,1260001562.3,2026-09-16,jugaad,379
14,SOLARINDS,Solar Industries India Ltd.,0.4501251340722203,0.4230580310153673,18815.0,15894.935,True,4512495620.55,2026-09-16,jugaad,381
15,DIVISLAB,Divi's Laboratories Ltd.,0.4276452497714238,0.4145939713391533,9323.0,6885.7325,True,4532405114.75,2026-09-16,jugaad,381
16,TITAN,Titan Company Ltd.,0.40857095028179247,0.23413513249242213,4841.0,4358.6035,True,2499341640.0950003,2026-09-16,jugaad,380
17,HINDALCO,Hindalco Industries Ltd.,0.40254494041607747,0.14455249711554297,980.5,970.563,True,3108411589.8475,2026-09-16,jugaad,382
18,UNIONBANK,Union Bank of India,0.39989434759640785,0.06682769726247995,178.09,172.9865,True,1518928060.0175,2026-09-16,jugaad,379
19,LTF,L&T Finance Ltd.,0.3969577174286698,0.260077519379845,302.3,294.10775,True,1156003913.8799999,2026-09-16,jugaad,379
20,ABCAPITAL,Aditya Birla Capital Ltd.,0.38620689655172424,0.2936444086886565,390.0,362.694,True,1112826996.8475,2026-09-16,jugaad,381
21,TORNTPHARM,Torrent Pharmaceuticals Ltd.,0.38402427819695406,0.13234624145785867,4875.0,4379.0135,True,1474785728.825,2026-09-16,jugaad,379
22,INDUSINDBK,IndusInd Bank Ltd.,0.35108153078202986,0.24631630648330072,958.2,919.2275,True,1528173820.6100001,2026-09-16,jugaad,379
23,NYKAA,FSN E-Commerce Ventures Ltd.,0.3429959785522789,0.3462103716145286,323.75,280.43725,True,1476588356.2425,2026-09-16,jugaad,379
24,CUMMINSIND,Cummins India Ltd.,0.3304155372640687,0.1506118674323076,5020.0,4976.2325,True,2308836949.75,2026-09-16,jugaad,380
25,ADANIGREEN,Adani Green Energy Ltd.,0.3240876651313458,0.5057848385425661,1274.2,1186.6245,True,1871203195.545,2026-09-16,jugaad,383
