id,pattern,entry,exit,market_filter,pyramid,period,start,end,initial_cash,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,closed_trades,win_rate_pct,profit_factor,average_win_pct,average_loss_pct,mean_net_r,mean_holding_sessions,average_exposure_pct,fees_and_fixed_charges
three__intraday_pivot__atr_trail__m0__a0,three,intraday_pivot,atr_trail,False,False,development,2016-01-01,2020-12-31,100000,98994.75462613716,-1.0052453738628397,-0.20189000920962652,1.0276810831512218,4,25.0,0.09472481737463463,1.3740319163099066,-5.652605375799009,-0.510811314352005,6.0,0.11424961876267153,159.84065652644483
three__intraday_pivot__atr_trail__m0__a0,three,intraday_pivot,atr_trail,False,False,validation,2021-01-01,2023-12-29,100000,99535.9150584755,-0.46408494152450075,-0.1554665476618311,0.46408494152450075,1,0.0,0.0,,-5.505972741114939,-0.9632005807741439,7.0,0.06678461141893866,44.619193180031004
three__intraday_pivot__atr_trail__m0__a0,three,intraday_pivot,atr_trail,False,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m0__a0,three,intraday_pivot,atr_trail,False,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m0__a0,three,intraday_pivot,atr_trail,False,False,full,2016-01-01,2026-09-23,100000,98530.66968461266,-1.4693303153873405,-0.1378973554091445,1.4693303153873405,5,20.0,0.06680489102843254,1.3740319163099066,-5.615947217127991,-0.6012891676364328,6.2,0.07212044893212526,204.45984970647584
three__intraday_pivot__atr_trail__m0__a0,three,intraday_pivot,atr_trail,False,False,full_stress,2016-01-01,2026-09-23,100000,98430.00129769441,-1.5699987023055861,-0.14741324587187465,1.5699987023055861,5,20.0,0.022081684822640644,0.577714868462175,-6.313151238050227,-0.6444418780232343,6.2,0.06316061115547714,384.2366826163444
three__intraday_pivot__atr_trail__m0__a1,three,intraday_pivot,atr_trail,False,True,development,2016-01-01,2020-12-31,100000,98994.75462613716,-1.0052453738628397,-0.20189000920962652,1.0276810831512218,4,25.0,0.09472481737463463,1.3740319163099066,-5.652605375799009,-0.510811314352005,6.0,0.11424961876267153,159.84065652644483
three__intraday_pivot__atr_trail__m0__a1,three,intraday_pivot,atr_trail,False,True,validation,2021-01-01,2023-12-29,100000,99535.9150584755,-0.46408494152450075,-0.1554665476618311,0.46408494152450075,1,0.0,0.0,,-5.505972741114939,-0.9632005807741439,7.0,0.06678461141893866,44.619193180031004
three__intraday_pivot__atr_trail__m0__a1,three,intraday_pivot,atr_trail,False,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m0__a1,three,intraday_pivot,atr_trail,False,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m0__a1,three,intraday_pivot,atr_trail,False,True,full,2016-01-01,2026-09-23,100000,98530.66968461266,-1.4693303153873405,-0.1378973554091445,1.4693303153873405,5,20.0,0.06680489102843254,1.3740319163099066,-5.615947217127991,-0.6012891676364328,6.2,0.07212044893212526,204.45984970647584
three__intraday_pivot__atr_trail__m0__a1,three,intraday_pivot,atr_trail,False,True,full_stress,2016-01-01,2026-09-23,100000,98430.00129769441,-1.5699987023055861,-0.14741324587187465,1.5699987023055861,5,20.0,0.022081684822640644,0.577714868462175,-6.313151238050227,-0.6444418780232343,6.2,0.06316061115547714,384.2366826163444
three__intraday_pivot__atr_trail__m1__a0,three,intraday_pivot,atr_trail,True,False,development,2016-01-01,2020-12-31,100000,98994.75462613716,-1.0052453738628397,-0.20189000920962652,1.0276810831512218,4,25.0,0.09472481737463463,1.3740319163099066,-5.652605375799009,-0.510811314352005,6.0,0.11424961876267153,159.84065652644483
three__intraday_pivot__atr_trail__m1__a0,three,intraday_pivot,atr_trail,True,False,validation,2021-01-01,2023-12-29,100000,99535.9150584755,-0.46408494152450075,-0.1554665476618311,0.46408494152450075,1,0.0,0.0,,-5.505972741114939,-0.9632005807741439,7.0,0.06678461141893866,44.619193180031004
three__intraday_pivot__atr_trail__m1__a0,three,intraday_pivot,atr_trail,True,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m1__a0,three,intraday_pivot,atr_trail,True,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__atr_trail__m1__a0,three,intraday_pivot,atr_trail,True,False,full,2016-01-01,2026-09-23,100000,98530.66968461266,-1.4693303153873405,-0.1378973554091445,1.4693303153873405,5,20.0,0.06680489102843254,1.3740319163099066,-5.615947217127991,-0.6012891676364328,6.2,0.07212044893212526,204.45984970647584
three__intraday_pivot__atr_trail__m1__a0,three,intraday_pivot,atr_trail,True,False,full_stress,2016-01-01,2026-09-23,100000,98430.00129769441,-1.5699987023055861,-0.14741324587187465,1.5699987023055861,5,20.0,0.022081684822640644,0.577714868462175,-6.313151238050227,-0.6444418780232343,6.2,0.06316061115547714,384.2366826163444
