symbol,entry_date,exit_date,entry_price,exit_price,initial_stop,exit_stop,target,quantity,entry_cost,exit_proceeds,net_pnl,net_return_pct,planned_risk_rupees,net_r,fees,holding_sessions,reason,adds
TATAELXSI,2016-04-26,2016-04-28,890.7749133450003,837.2792961098824,837.6981451824736,837.6981451824736,,8,7136.888605720143,6668.18701732574,-468.7015883944023,-6.567309850103906,468.7015883944023,-1.0,40.73665051345859,3,stop,0
NATIONALUM,2017-03-06,2017-03-08,45.30335390144168,41.606512572163936,41.62732623528157,41.62732623528157,,125,5671.413616536731,5173.012850413212,-498.40076612351913,-8.787946001157104,498.4007661235199,-0.9999999999999986,36.29559996380105,3,stop,0
BIOCON,2017-01-09,2017-04-17,162.40642439701637,178.94509815309885,154.39517584313757,154.39517584313757,,55,8945.751871848655,9807.217427822807,861.4655559741514,9.62988431062003,490.994301017827,1.7545326986246899,48.16150061038451,66,weekly_sma10,0
ADANIENSOL,2017-08-02,2017-08-07,130.195065,124.58767652511597,120.10687091510924,120.10687091510924,,45,5867.566091887501,5578.035775464774,-289.5303164227271,-4.93441934677194,493.5624654830506,-0.5866133198345284,37.19783505294533,4,weekly_sma10,0
TITAN,2017-09-12,2017-09-22,619.4667083268545,588.9045185149829,589.1991180740199,589.1991180740199,,14,8685.542717450828,8212.296264320947,-473.24645312988105,-5.448668765154344,473.2464531298797,-1.0000000000000029,45.37579576367859,9,stop,0
GODREJPROP,2017-12-01,2017-12-14,737.5452721821798,688.4378360468763,688.7822271604565,688.7822271604565,,9,6647.864310814079,6166.646613635255,-481.217697178824,-7.238681096363946,481.21769717882455,-0.9999999999999988,39.250771961092255,10,stop,0
TVSMOTOR,2017-11-23,2018-01-22,699.0443886276275,683.0026881713868,668.6607689668385,668.6607689668385,,14,9801.301372947966,9527.694577947817,-273.60679500014885,-2.7915353746321476,478.76608800522285,-0.5714832396340571,49.0229886127793,42,weekly_sma10,0
BIOCON,2018-05-29,2018-06-05,334.42424678193305,314.8039415776031,314.9614222887474,314.9614222887474,,23,7703.295312498438,7209.629920300444,-493.66539219799415,-6.408496262593389,493.665392197994,-1.0000000000000004,42.398372498404,6,stop,0
LTM,2018-07-10,2018-08-06,1528.7535072671462,1500.3838499913131,1444.4598407294095,1444.4598407294095,,5,7655.233187640235,7470.666371081631,-184.56681655860393,-2.4109888233920356,467.37316567607877,-0.3949024679061725,42.718530179438446,20,weekly_sma10,0
JUBLFOOD,2018-03-15,2018-09-10,207.0527917566206,275.1996356478975,194.56162101489474,194.56162101489474,,35,7257.717983048944,9597.539266804899,2339.821283755955,32.23907692777288,481.6754537561181,4.857671831748879,45.3182524387372,123,weekly_sma10,0
DIVISLAB,2020-09-21,2020-09-21,3240.5543578054776,3050.219782200532,3051.745655028046,3051.745655028046,,2,6490.830378684372,6071.288905054463,-419.541473629909,-6.463602484632267,419.541473629909,-1.0,38.87232242001803,1,stop,0
