symbol,name,shares,price,value_rs,weight_pct,z_ram,mom12_pct
LAURUSLABS,Laurus Labs Ltd.,57,1948.1,111041.7,11.1,3.708,102.4
FEDERALBNK,Federal Bank Ltd.,318,332.75,105814.5,10.58,3.484,82.5
BHARATFORG,Bharat Forge Ltd.,40,1918.7,76748.0,7.67,2.536,73.2
ADANIENSOL,Adani Energy Solutions Ltd.,54,1386.8,74887.2,7.49,2.489,93.2
BHEL,Bharat Heavy Electricals Ltd.,175,429.2,75110.0,7.51,2.473,85.8
MOTHERSON,Samvardhana Motherson International Ltd.,384,161.87,62158.08,6.22,2.045,69.4
RADICO,Radico Khaitan Ltd,13,4380.0,56940.0,5.69,2.016,64.5
AUROPHARMA,Aurobindo Pharma Ltd.,33,1690.0,55770.0,5.58,1.877,48.3
POWERINDIA,Hitachi Energy India Ltd.,1,31230.0,31230.0,3.12,1.875,81.4
DIVISLAB,Divi's Laboratories Ltd.,6,9323.0,55938.0,5.59,1.866,42.8
TORNTPHARM,Torrent Pharmaceuticals Ltd.,11,4875.0,53625.0,5.36,1.826,38.4
TITAN,Titan Company Ltd.,11,4841.0,53251.0,5.33,1.783,40.9
AUBANK,AU Small Finance Bank Ltd.,51,1039.3,53004.3,5.3,1.765,51.3
IDEA,Vodafone Idea Ltd.,3374,14.22,47978.28,4.8,1.578,68.9
ABB,ABB India Ltd.,6,7130.5,42783.0,4.28,1.565,46.2
