rank,symbol,name,type,score,PE,PB,ROE%,cash_yield%,dd_52wh%,drop_1m%,drop_5d%,price,shares,value_rs,missing_fields
1,MUTHOOTFIN,Muthoot Finance Ltd.,FIN,0.8521375432753364,9.780398,2.7391922,31.735000000000003,14.533966406191809,-31.7,-4.05,-4.42,2770.2,36,99727.2,0
2,WIPRO,Wipro Ltd.,NON,0.7876319645934592,13.2273445,2.1246169,16.128999,23.979466555621993,-36.5,-6.27,-0.07,166.4,600,99840.0,0
3,TCS,Tata Consultancy Services Ltd.,NON,0.7035790481216073,15.90645,7.227389,47.743,5.683141199658124,-31.69,-4.0,-0.87,2190.0,45,98550.0,0
4,SUZLON,Suzlon Energy Ltd.,NON,0.6228134048463155,18.57642,5.980599,39.366,4.444668394282371,-30.22,-11.78,-7.26,42.54,2350,99969.0,0
5,LTM,LTM Ltd.,NON,0.4855152941222801,24.222273,5.1541295,21.966,11.793078381510176,-33.05,-7.22,-4.06,4265.3,23,98101.9,0
6,INFY,Infosys Ltd.,NON,0.33918811555977274,13.643511,4.686366,32.0,0.07286047696536302,-35.91,-4.93,2.42,1058.6,94,99508.4,0
7,BANKBARODA,Bank of Baroda,FIN,0.29124982384331244,6.6125817,0.7126139,11.3170005,42.174997100460665,-25.23,-3.7,0.38,232.3,430,99889.0,0
8,BANKINDIA,Bank of India,FIN,0.2801805101993416,5.115513,0.691732,13.697000000000001,162.54477299388859,-19.69,-3.02,-2.3,138.17,723,99896.91,0
9,SBIN,State Bank of India,FIN,0.2199003109300341,10.575463,1.4673952,15.177,23.23100060906329,-17.8,-5.85,-0.91,988.7,101,99858.7,0
10,HDFCBANK,HDFC Bank Ltd.,FIN,0.20174179252281724,15.588106,1.8105041,13.838000000000001,21.630836257724432,-27.35,-0.21,5.01,713.0,140,99820.0,0
